ocdid,chamber,district_id,district_name,rep_name,rep_first_name,rep_last_name,address,city,state,zip,party,short_party,phones,email,form_link,website,facebook,twitter
ocd-division/country:us/state:ca/sldl:11,assembly,11,California Assembly District 11,Jim Frazier,Jim,Frazier,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2011,Assemblymember.Frazier@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD11,http://asmdc.org/members/a11,ASMJimFrazier,asmfrazier
ocd-division/country:us/state:ca/sldl:12,assembly,12,California Assembly District 12,Heath Flora,Heath,Flora,"California State Capitol, P.O. Box 942849, Room 4144",Sacramento,CA,94249-0012,Republican,R,(916) 319-2012,Assemblymember.Flora@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD12,https://ad12.asmrc.org/,,HFlora4Assembly
ocd-division/country:us/state:ca/sldl:13,assembly,13,California Assembly District 13,Susan Talamantes Eggman,Susan,Eggman,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2013,Assemblymember.Eggman@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD13,http://asmdc.org/members/a13,8.45E+14,AsmSusanEggman
ocd-division/country:us/state:ca/sldl:14,assembly,14,California Assembly District 14,Tim Grayson,Tim,Grayson,"California State Capitol, P.O. Box 942849, Room 4140",Sacramento,CA,94249-0014,Democratic,D,(916) 319-2014,Assemblymember.Grayson@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD14,https://a14.asmdc.org/,,AsmGrayson
ocd-division/country:us/state:ca/sldl:15,assembly,15,California Assembly District 15,Tony Thurmond,Tony,Thurmond,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2015,Assemblymember.Thurmond@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD15,http://asmdc.org/members/a15,tony.thurmond,tonythurmond
ocd-division/country:us/state:ca/sldl:16,assembly,16,California Assembly District 16,Catharine B. Baker,Catharine,Baker,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2016,Assemblymember.Baker@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD16,https://ad16.asmrc.org/,8.15E+14,CBakerAD16
ocd-division/country:us/state:ca/sldl:17,assembly,17,California Assembly District 17,David Chiu,David,Chiu,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2017,Assemblymember.Chiu@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD17,http://asmdc.org/members/a17,davidchiu.sf,DavidChiu
ocd-division/country:us/state:ca/sldl:18,assembly,18,California Assembly District 18,Rob Bonta,Rob,Bonta,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2018,Assemblymember.Bonta@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD18,http://asmdc.org/members/a18,1.61E+14,robbonta
ocd-division/country:us/state:ca/sldl:19,assembly,19,California Assembly District 19,Philip Y. Ting,Philip,Ting,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2019,Assemblymember.Ting@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD19,http://asmdc.org/members/a19,philtingsf,philting
ocd-division/country:us/state:ca/sldl:20,assembly,20,California Assembly District 20,Bill Quirk,Bill,Quirk,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2020,Assemblymember.Quirk@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD20,http://asmdc.org/members/a20,BillQuirkAD20,asmbillquirk
ocd-division/country:us/state:ca/sldl:21,assembly,21,California Assembly District 21,Adam C. Gray,Adam,Gray,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2021,Assemblymember.Gray@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD21,http://asmdc.org/members/a21,AdamGrayForAssembly,GrayForAssembly
ocd-division/country:us/state:ca/sldl:22,assembly,22,California Assembly District 22,Kevin Mullin,Kevin,Mullin,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2022,Assemblymember.Mullin@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD22,http://asmdc.org/members/a22,kevincmullin,kevinmullin
ocd-division/country:us/state:ca/sldl:23,assembly,23,California Assembly District 23,Jim Patterson,Jim,Patterson,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2023,Assemblymember.Patterson@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD23,https://ad23.asmrc.org/,AssemblymanJimPatterson,JimPatterson559
ocd-division/country:us/state:ca/sldl:24,assembly,24,California Assembly District 24,Marc Berman,Marc,Berman,"California State Capitol, P.O. Box 942849, Room 5155",Sacramento,CA,94249-0024,Democratic,D,(916) 319-2024,Assemblymember.Berman@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD24,https://a24.asmdc.org/,,marc_berman
ocd-division/country:us/state:ca/sldl:25,assembly,25,California Assembly District 25,Kansen Chu,Kansen,Chu,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2025,Assemblymember.Chu@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD25,http://asmdc.org/members/a25,,kansenchu
ocd-division/country:us/state:ca/sldl:26,assembly,26,California Assembly District 26,Devon J. Mathis,Devon,Mathis,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2026,Assemblymember.Mathis@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD26,https://ad26.asmrc.org/,mathisforassembly,ad26mathis
ocd-division/country:us/state:ca/sldl:27,assembly,27,California Assembly District 27,Ash Kalra,Ash,Kalra,"California State Capitol, P.O. Box 942849, Room 4016",Sacramento,CA,94249-0027,Democratic,D,(916) 319-2027,Assemblymember.Kalra@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD27,https://a27.asmdc.org/,ash.kalra,Ash_Kalra
ocd-division/country:us/state:ca/sldl:28,assembly,28,California Assembly District 28,Evan Low,Evan,Low,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2028,Assemblymember.Low@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD28,http://asmdc.org/members/a28,,Evan_Low
ocd-division/country:us/state:ca/sldl:29,assembly,29,California Assembly District 29,Mark Stone,Mark,Stone,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2029,Assemblymember.Stone@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD29,http://asmdc.org/members/a29,AssemblymemberMarkStone,AsmMarkStone
ocd-division/country:us/state:ca/sldl:30,assembly,30,California Assembly District 30,Anna Caballero,Anna,Caballero,"California State Capitol, P.O. Box 942849, Room 2117",Sacramento,CA,94249-0030,Democratic,D,(916) 319-2030,Assemblymember.Caballero@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD30,https://a30.asmdc.org/,,amcab2
ocd-division/country:us/state:ca/sldl:31,assembly,31,California Assembly District 31,Joaquin Arambula,Joaquin,Arambula,"California State Capitol, P.O. Box 942849, Room 5164",Sacramento,CA,94249-0031,Democratic,D,(916) 319-2031,Assemblymember.Arambula@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD31,http://asmdc.org/members/a31/,drjoaquinarambula,drarambula559
ocd-division/country:us/state:ca/sldl:32,assembly,32,California Assembly District 32,Rudy Salas Jr.,Rudy,Salas,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2032,Assemblymember.Salas@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD32,http://asmdc.org/members/a32,rudysalas,rudysalasjr
ocd-division/country:us/state:ca/sldl:33,assembly,33,California Assembly District 33,Jay Obernolte,Jay,Obernolte,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2033,assemblymember.obernolte@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD33,https://ad33.asmrc.org/,electJayAssembly,jayobernolte
ocd-division/country:us/state:ca/sldl:34,assembly,34,California Assembly District 34,Vince Fong,Vince,Fong,"California State Capitol, P.O. Box 942849, Room 4208",Sacramento,CA,94249-0034,Republican,R,(916) 319-2034,Assemblymember.Fong@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD34,https://ad34.asmrc.org/,,vfong
ocd-division/country:us/state:ca/sldl:35,assembly,35,California Assembly District 35,Jordan Cunningham,Jordan,Cunningham,"California State Capitol, P.O. Box 942812, Room 4098",Sacramento,CA,94249-0035,Republican,R,(916) 319-2035,Assemblymember.Cunningham@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD35,https://ad35.asmrc.org/,,cunning_jordan
ocd-division/country:us/state:ca/sldl:36,assembly,36,California Assembly District 36,Tom Lackey,Tom,Lackey,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2036,Assemblymember.Lackey@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD36,https://ad36.asmrc.org/,AssemblymanLackey,TomLackey36
ocd-division/country:us/state:ca/sldl:37,assembly,37,California Assembly District 37,S. Monique Limon,S.,Limon,"California State Capitol, P.O. Box 942849, Room 4005",Sacramento,CA,94249-0037,Democratic,D,(916) 319-2037,Assemblymember.Limon@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD37,https://a37.asmdc.org/,,smoniquelimon
ocd-division/country:us/state:ca/sldl:38,assembly,38,California Assembly District 38,Dante Acosta,Dante,Acosta,"California State Capitol, P.O. Box 942849, Room 4158",Sacramento,CA,94249-0038,Republican,R,(916) 319-2038,Assemblymember.Acosta@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD38,https://ad38.asmrc.org/,,danteacostascv
ocd-division/country:us/state:ca/sldl:39,assembly,39,California Assembly District 39,Raul Bocanegra,Raul,Bocanegra,"California State Capitol, P.O. Box 942849, Room 5160",Sacramento,CA,94249-0039,Democratic,D,(916) 319-2039,Assemblymember.Bocanegra@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD39,https://a39.asmdc.org/,RaulJBocanegra,rauljbocanegra
ocd-division/country:us/state:ca/sldl:40,assembly,40,California Assembly District 40,Marc Steinorth,Marc,Steinorth,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2040,Assemblymember.Steinorth@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD40,https://ad40.asmrc.org/,steinorth,MarcSteinorth
ocd-division/country:us/state:ca/sldl:41,assembly,41,California Assembly District 41,Chris R. Holden,Chris,Holden,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2041,Assemblymember.Holden@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD41,http://asmdc.org/members/a41,Assemblymember,chrisholdennews
ocd-division/country:us/state:ca/sldl:42,assembly,42,California Assembly District 42,Chad Mayes,Chad,Mayes,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2042,Assemblymember.Mayes@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD42,https://ad42.asmrc.org/,,ChadMayesCA
ocd-division/country:us/state:ca/sldl:43,assembly,43,California Assembly District 43,Laura Friedman,Laura,Friedman,"California State Capitol, P.O. Box 942849, Room 5136",Sacramento,CA,94249-0043,Democratic,D,(916) 319-2043,Assemblymember.Friedman@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD43,https://a43.asmdc.org/,,laurafriedman43
ocd-division/country:us/state:ca/sldl:44,assembly,44,California Assembly District 44,Jacqui Irwin,Jacqui,Irwin,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2044,Assemblymember.Irwin@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD44,http://asmdc.org/members/a44,ElectJacquiIrwin,jacquiirwin
ocd-division/country:us/state:ca/sldl:45,assembly,45,California Assembly District 45,Matthew Dababneh,Matthew,Dababneh,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2045,Assemblymember.Dababneh@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD45,http://www.asmdc.org/members/a45,MattDababnehForAssembly,mattdababneh
ocd-division/country:us/state:ca/sldl:46,assembly,46,California Assembly District 46,Adrin Nazarian,Adrin,Nazarian,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2046,Assemblymember.Nazarian@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD46,http://asmdc.org/members/a46,AdrinNazarian,Asm_Nazarian
ocd-division/country:us/state:ca/sldl:47,assembly,47,California Assembly District 47,Eloise Reyes,Eloise,Reyes,"California State Capitol, P.O. Box 942849, Room 2136",Sacramento,CA,94249-0047,Democratic,D,(916) 319-2047,Assemblymember.Reyes@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD47,https://a47.asmdc.org/,,reyes4assembly
ocd-division/country:us/state:ca/sldl:48,assembly,48,California Assembly District 48,Blanca E. Rubio,Blanca,Rubio,"California State Capitol, P.O. Box 942849, Room 2179",Sacramento,CA,94249-0048,Democratic,D,(916) 319-2048,Assemblymember.Rubio@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD48,https://a48.asmdc.org/,,AsmBlancaRubio
ocd-division/country:us/state:ca/sldl:49,assembly,49,California Assembly District 49,Ed Chau,Ed,Chau,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2049,Assemblymember.Chau@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD49,http://asmdc.org/members/a49,AssemblymemberEdChau,edchau49
ocd-division/country:us/state:ca/sldl:50,assembly,50,California Assembly District 50,Richard Bloom,Richard,Bloom,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2050,Assemblymember.Bloom@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD50,http://asmdc.org/members/a50,,RichardBloom
ocd-division/country:us/state:ca/sldl:51,assembly,51,California Assembly District 51,Jimmy Gomez,Jimmy,Gomez,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2051,Assemblymember.Gomez@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD51,http://asmdc.org/members/a51,jimmygomezforassembly,JimmyGomezCA
ocd-division/country:us/state:ca/sldl:52,assembly,52,California Assembly District 52,Freddie Rodriguez,Freddie,Rodriguez,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2052,Assemblymember.Rodriguez@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD52,http://www.asmdc.org/members/a52/,AssemblymemberRodriguez,asmrodriguez52
ocd-division/country:us/state:ca/sldl:53,assembly,53,California Assembly District 53,Miguel Santiago,Miguel,Santiago,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2053,Assemblymember.Santiago@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD53,http://asmdc.org/members/a53,,santiagoad53
ocd-division/country:us/state:ca/sldl:54,assembly,54,California Assembly District 54,Sebastian Ridley-Thomas,Sebastian,Ridley-Thomas,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2054,Assemblymember.Ridley-Thomas@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD54,http://asmdc.org/members/a54,SRTforAssembly,sebastianmrt
ocd-division/country:us/state:ca/sldl:55,assembly,55,California Assembly District 55,Phillip Chen,Phillip,Chen,"California State Capitol, P.O. Box 942849, Room 3149",Sacramento,CA,94249-0055,Republican,R,(916) 319-2055,Assemblymember.Chen@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD55,https://ad55.asmrc.org/,,phillipchenca
ocd-division/country:us/state:ca/sldl:56,assembly,56,California Assembly District 56,Eduardo Garcia,Eduardo,Garcia,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2056,Assemblymember.Garcia@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD56,http://asmdc.org/members/a56,voteforgarcia,voteforgarcia
ocd-division/country:us/state:ca/sldl:57,assembly,57,California Assembly District 57,Ian C. Calderon,Ian,Calderon,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2057,Assemblymember.Calderon@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD57,http://asmdc.org/members/a57,IanCCalderon,iancalderon
ocd-division/country:us/state:ca/sldl:58,assembly,58,California Assembly District 58,Cristina Garcia,Cristina,Garcia,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2058,Assemblymember.Garcia@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD58,http://asmdc.org/members/a58,cristinagarciaad58,asmgarcia
ocd-division/country:us/state:ca/sldl:59,assembly,59,California Assembly District 59,Reginald B. Jones-Sawyer Sr.,Reginald,Jones-Sawyer,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2059,Assemblymember.Jones-Sawyer@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD59,http://asmdc.org/members/a59,reggiejonessawyersr,jonessawyer59
ocd-division/country:us/state:ca/sldl:60,assembly,60,California Assembly District 60,Sabrina Cervantes,Sabrina,Cervantes,"California State Capitol, P.O. Box 942849, Room 2016",Sacramento,CA,94249-0060,Democratic,D,(916) 319-2060,Assemblymember.Cervantes@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD60,https://a60.asmdc.org/,,AsmCervantes
ocd-division/country:us/state:ca/sldl:61,assembly,61,California Assembly District 61,Jose Medina,Jose,Medina,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2061,Assemblymember.Medina@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD61,http://asmdc.org/members/a61,AsmJoseMedina,AsmJoseMedina
ocd-division/country:us/state:ca/sldl:62,assembly,62,California Assembly District 62,Autumn R. Burke,Autumn,Burke,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2062,Assemblymember.Burke@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD62,http://asmdc.org/members/a62,BurkeforAssembly,autumnrburke
ocd-division/country:us/state:ca/sldl:63,assembly,63,California Assembly District 63,Anthony Rendon,Anthony,Rendon,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2063,Assemblymember.Rendon@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD63,http://asmdc.org/members/a63,anthonyrendonforassembly,Rendon63rd
ocd-division/country:us/state:ca/sldl:64,assembly,64,California Assembly District 64,Mike A. Gipson,Mike,Gipson,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2064,Assemblymember.Gipson@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD64,http://asmdc.org/members/a64,MikeGipson4Assembly,mgipson2014
ocd-division/country:us/state:ca/sldl:65,assembly,65,California Assembly District 65,Sharon Quirk-Silva,Sharon,Quirk-Silva,"California State Capitol, P.O. Box 942849, Room 4177",Sacramento,CA,94249-0065,Democratic,D,(916) 319-2065,Assemblymember.Quirk-Silva@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD65,https://a65.asmdc.org/,,quirksilva65th
ocd-division/country:us/state:ca/sldl:66,assembly,66,California Assembly District 66,Al Muratsuchi,Al,Muratsuchi,"California State Capitol, P.O. Box 942849, Room 4102",Sacramento,CA,94249-0066,Democratic,D,(916) 319-2066,Assemblymember.Muratsuchi@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD66,https://a66.asmdc.org/,,AMuratsuchi
ocd-division/country:us/state:ca/sldl:67,assembly,67,California Assembly District 67,Melissa A. Melendez,Melissa,Melendez,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2067,Assemblymember.Melendez@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD67,https://ad67.asmrc.org/,MelissaMelendezCA,asmMelendez
ocd-division/country:us/state:ca/sldl:68,assembly,68,California Assembly District 68,Steven S. Choi,Steven,Choi,"California State Capitol, P.O. Box 942849, Room 3098",Sacramento,CA,94249-0068,Republican,R,(916) 319-2068,Assemblymember.Choi@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD68,https://ad68.asmrc.org/,,irvinespeaker
ocd-division/country:us/state:ca/sldl:69,assembly,69,California Assembly District 69,Tom Daly,Tom,Daly,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2069,Assemblymember.Daly@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD69,http://asmdc.org/members/a69,,
ocd-division/country:us/state:ca/sldl:70,assembly,70,California Assembly District 70,Patrick O'Donnell,Patrick,O'Donnell,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2070,Assemblymember.O'Donnell@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD70,http://asmdc.org/members/a70,odonnellfor70,asmpatodonnell
ocd-division/country:us/state:ca/sldl:71,assembly,71,California Assembly District 71,Randy Voepel,Randy,Voepel,"California State Capitol, P.O. Box 942849, Room 3141",Sacramento,CA,94249-0071,Republican,R,(916) 319-2071,Assemblymember.Voepel@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD71,https://ad71.asmrc.org/,,RandyVoepel
ocd-division/country:us/state:ca/sldl:72,assembly,72,California Assembly District 72,Travis Allen,Travis,Allen,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2072,Assemblymember.Allen@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD72,https://ad72.asmrc.org/,JoinTravisAllen,JoinTravisAllen
