chamber,gender,role,id,first_name,middle_name,last_name,image_url,date_of_birth,issue,name,party,state,district,url,statement_status,full_statement,summarized_statement,position,statement_date,statement_type,statement_url,who_reported_this
house of representatives,M,Representative,D000623,Mark,,DeSaulnier,https://theunitedstates.io/images/congress/450x550/D000623.jpg,3/31/52,refugee ban,Mark DeSaulnier,D,CA,11,https://desaulnier.house.gov,TRUE,America has long been a haven for those seeking safety from violence & persecution. We must not neglect those in need of refuge #NoBanNoWall,NULL,Oppose,1/29/17,tweet,https://twitter.com/RepDeSaulnier/status/825910462902566913,Chris Keller/KPCC
house of representatives,F,Representative,P000197,Nancy,,Pelosi,https://theunitedstates.io/images/congress/450x550/P000197.jpg,3/26/40,refugee ban,Nancy Pelosi,D,CA,12,http://pelosi.house.gov,TRUE,"The injunction against President Trump's Executive Order must be immediately enforced nationwide to prevent further harm from his immoral and unconstitutional ban on Muslims. I support the efforts of the ACLU and others to challenge this order on Constitutional grounds, and call on the Department of Homeland Security and U.S. Customs and Border Protection to respect the district court's nationwide injunction prohibiting the U.S. government from removing lawful permanent residents and nonimmigrants who are returning home to the United States. Any delays in implementing the injunction will have extremely harmful ramifications across the United States as families, coworkers and communities will be arbitrarily separated.  I expect a full report from the Department of Homeland Security and U.S. Customs as to the wellbeing and status of those who have been affected by the Executive Order. As the Statue of Liberty holds her torch of welcome high, there are tears in her eyes as she sees how low this Administration has stooped in its callousness toward immigrant families and refugees who have trusted in the laws and protections of the United States. House Democrats will continue to defend our Constitution and demand smart and strong action to defeat terrorists while protecting religious freedoms.",NULL,Oppose,1/29/17,news release,http://www.democraticleader.gov/newsroom/pelosi-statement-on-unconstitutional-muslim-ban-and-detentions-at-us-airports/,Chris Keller/KPCC
house of representatives,F,Representative,L000551,Barbara,,Lee,https://theunitedstates.io/images/congress/450x550/L000551.jpg,7/16/46,refugee ban,Barbara Lee,D,CA,13,https://lee.house.gov,TRUE,"I am outraged by President Trump's executive order banning immigrants and refugees from the United States on the basis of religion. This pronouncement violates constitutional principles and disregards religious tolerance - a cornerstone of American democracy. Let me be clear: by turning his back on individuals and families fleeing Muslim-majority countries, President Trump is effectively implementing his campaign promise of closing  our doors to Muslim refugees. This is a watershed moment for our country, a moment that brings into question our moral character. People of conscience must unite in opposition to this un-American policy which weakens our leadership on the world stage and poses a direct threat to our national security. Now is the time for the resistance to stand up and show President Trump that the United States must remain a beacon of hope for those in need no matter who they are or how they worship. We are better than this.",NULL,Oppose,1/27/17,news release,https://lee.house.gov/news/press-releases/congresswoman-barbara-lee-condemns-president-trumps-muslim-ban,Chris Keller/KPCC
house of representatives,F,Representative,S001175,Jackie,,Speier,https://theunitedstates.io/images/congress/450x550/S001175.jpg,5/14/50,refugee ban,Jackie Speier,D,CA,14,https://speier.house.gov,TRUE,"America is built on immigrants - I am the daughter of one myself. President Trump's actions barring refugees, splitting up families, and destroying lives is truly reprehensible. I am ashamed at what he has done to our country and to all those individuals and families that have been impacted by this hateful policy, including an estimated half a million people who live here legally with green cards and contribute to our nation's economic and social success. Let me be clear, we already do exhaustive vetting that takes approximately 18 months. Many of those detained yesterday were actually American patriots serving the military as translators and aides. The President relishes chaos. We must demand rationality and constitutional respect in the process.",NULL,Oppose,1/29/17,facebook,https://www.facebook.com/JackieSpeier/posts/10154782572296977,Chris Keller/KPCC
house of representatives,M,Representative,S001193,Eric,,Swalwell,https://theunitedstates.io/images/congress/450x550/S001193.jpg,11/16/80,refugee ban,Eric Swalwell,D,CA,15,https://swalwell.house.gov,TRUE,"#Refugees help us as much as we help them. I know, my chief of staff is one & and our country is better b/c of him.",NULL,Oppose,1/27/17,tweet,https://twitter.com/RepSwalwell/status/825156462448029696,Chris Keller/KPCC
house of representatives,M,Representative,C001059,Jim,,Costa,https://theunitedstates.io/images/congress/450x550/C001059.jpg,4/13/52,refugee ban,Jim Costa,D,CA,16,https://costa.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,K000389,Ro,,Khanna,,9/13/76,refugee ban,Ro Khanna,D,CA,17,https://khanna.house.gov,TRUE,It's sad that President Trump signed an order banning refugees on Holocaust Remembrance Day. What makes us great is being open to immigrants regardless of race or creed. I am working with colleagues to reverse these policies that are not consistent with our founding ideals.,NULL,Oppose,1/28/17,tweet,https://khanna.house.gov/media/press-releases/statement-rep-ro-khanna-anti-muslim-order-issued-president-trump,Chris Keller/KPCC
house of representatives,F,Representative,E000215,Anna,G.,Eshoo,https://theunitedstates.io/images/congress/450x550/E000215.jpg,12/13/42,refugee ban,Anna G. Eshoo,D,CA,18,http://eshoo.house.gov,TRUE,"Time and time again President Trump has mocked, ridiculed, and threatened anyone who is different from him in our country. Today, he took steps to temporarily shut our doors to those seeking refuge in the United States. Our refugee resettlement program already contains the most stringent screening in the world including thirteen steps of tough vetting. The refugees that the President has shut our doors to today are not terrorists, they are the victims of terrorism who have occupied their homelands. As a child of immigrants, I will continue to stand up for refugees and vigorously oppose the Administration's shameful efforts to rob hope from the hopeless.",NULL,Oppose,1/27/17,news release,http://eshoo.house.gov/uncategorized/eshoo-statement-on-presidents-unconstitutional-immigration-ban/,Chris Keller/KPCC
house of representatives,F,Representative,L000397,Zoe,,Lofgren,https://theunitedstates.io/images/congress/450x550/L000397.jpg,12/21/47,refugee ban,Zoe Lofgren,D,CA,19,https://lofgren.house.gov,TRUE,"I will undertake a legal analysis of President Trump̍s executive order today, and will issue a comprehensive review soon. However, it seems clear that the effects of today's orders will be discriminatory and isolationist. They are un-American, driven by xenophobia, and will damage our nation's standing around the world. If accurately reported, Trump's actions appear to lay the foundation for a total ban on Muslims from entry to the United States - an unprecedented and deeply worrisome development. He further proposes to slash the overall refugee program dramatically and intends to place additional burdens to those who might remain eligible for safe haven. Perhaps most troubling, today's executive order - issued on Holocaust Remembrance Day, no less - recalls a dark episode in American history. Just over 75 years ago, a ship called the St. Louis, carrying nearly a thousand Jews fleeing Nazi Germany, sailed so close to the United States that passengers could see the lights of Miami. But rather than welcome these refugees, America turned them away. Many of these Jewish refugees were killed by the Nazi's when they were forced to return to Europe. Making sure that such a tragedy never happens again became the bedrock of U.S. and international refugee and asylum law and policy. Mr. Trump's actions today upend this foundational principle and endanger millions all over the world.",NULL,Oppose,1/27/17,news release,https://lofgren.house.gov/news/documentsingle.aspx?DocumentID=398127,Chris Keller/KPCC
house of representatives,M,Representative,P000613,Jimmy,,Panetta,,10/1/69,refugee ban,Jimmy Panetta,D,CA,20,https://panetta.house.gov,TRUE,"People around the world look to the United States as a beacon of hope and freedom through its enlightened and bold leadership. This past week, disappointedly and disturbingly, our executive branch did a disservice to our nation's fundamental values by making disgraceful decisions based on intolerance, racism, and fear. That type of insular reaction is contrary to the historical responsibilities of our nation to welcome those fleeing terror and persecution. When my grandparents came to this country to attain the American Dream, they were welcomed by the Statue of Liberty. The text at the base of that beacon reads, 'Give me your tired, your poor, Your huddled masses yearning to breathe free.' We must never forget that being American means that we bear the burden to serve one another and welcome people of all religions and nationalities who are willing to come here and share in that responsibility. President Trump's executive actions are not reflective of our values. As a nation of immigrants, we are stronger because of our diversity, and when we come together in the name of inclusivity and equality, our voices cannot be silenced.",NULL,Oppose,1/29/17,news release,https://panetta.house.gov/media/press-releases/panetta-statement-regarding-president-trumps-executive-order-immigration,Chris Keller/KPCC
house of representatives,M,Representative,V000129,David,,Valadao,https://theunitedstates.io/images/congress/450x550/V000129.jpg,4/14/77,refugee ban,David Valadao,R,CA,21,http://valadao.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,N000181,Devin,,Nunes,https://theunitedstates.io/images/congress/450x550/N000181.jpg,10/1/73,refugee ban,Devin Nunes,R,CA,22,http://nunes.house.gov,TRUE,"Based on my studies of this issue during numerous trips abroad related to intelligence matters, I've stated repeatedly that refugee flows from certain war-torn regions pose a serious national security threat to the United States. In light of attempts by jihadist groups to infiltrate fighters into refugee flows to the West, along with Europe's tragic experience coping with this problem, the Trump Administration's executive order on refugees is a common-sense security measure to prevent terror attacks on the homeland. While accommodations should be made for green card holders and those who've assisted the U.S. armed forces, this is a useful temporary measure on seven nations of concern until we can verify who is entering the United States.",NULL,Support,1/29/17,news release,http://intelligence.house.gov/news/documentsingle.aspx?DocumentID=759,Chris Keller/KPCC
house of representatives,M,Representative,M001165,Kevin,,McCarthy,https://theunitedstates.io/images/congress/450x550/M001165.jpg,1/26/65,refugee ban,Kevin McCarthy,R,CA,23,http://kevinmccarthy.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,C001112,Salud,,Carbajal,,11/18/64,refugee ban,Salud Carbajal,D,CA,24,https://carbajal.house.gov,TRUE,"The reprehensible #MuslimBan, targeting immigrants & refugees b/c of religion isn't just immoral, but also undermines our national security.",NULL,Oppose,1/28/17,tweet,https://twitter.com/RepCarbajal/status/825475848031522816,Chris Keller/KPCC
house of representatives,M,Representative,K000387,Steve,,Knight,https://theunitedstates.io/images/congress/450x550/K000387.jpg,12/17/66,refugee ban,Steve Knight,R,CA,25,https://knight.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,F,Representative,B001285,Julia,,Brownley,https://theunitedstates.io/images/congress/450x550/B001285.jpg,8/28/52,refugee ban,Julia Brownley,D,CA,26,http://juliabrownley.house.gov,TRUE,Shocked and appalled that @POTUS would deny entry to those who protect our troops. This is wrong & not who we are.,NULL,Oppose,1/29/17,tweet,https://twitter.com/JuliaBrownley26/status/825735831197466624,Chris Keller/KPCC
house of representatives,F,Representative,C001080,Judy,,Chu,https://theunitedstates.io/images/congress/450x550/C001080.jpg,7/7/53,refugee ban,Judy Chu,D,CA,27,https://chu.house.gov,TRUE,"By challenging the unjust incarceration of over 120,000 Japanese Americans during World War II, Fred Korematsu served as a beacon of hope during an otherwise shameful time in our nation's history. His courageous actions cemented his legacy as a civil rights icon, and his story reminds us that we must always be vigilant in protecting the civil rights of all Americans. This is especially true now more than ever with President Trump's abhorrent executive order targeting immigrants, refugees, and Muslims. These shameful actions are fueled by the same hysteria and prejudice that led to Japanese American internment during WWII, but we must not allow history to repeat itself. As President Trump implements his Muslim ban and targets immigrants and other minority communities, Korematsu Day is also a reminder of the importance of President Trump's Supreme Court nominee this week. I urge my Senate colleagues from both parties to resist nominees that will provide legal justification for oppression. Instead, we must recommit ourselves to opposing discrimination and speaking out against intolerance and injustice whenever it occurs.",NULL,Oppose,1/30/17,news release,https://chu.house.gov/media-center/press-releases/korematsu-day-call-fight-oppression-and-prejudice,Chris Keller/KPCC
house of representatives,M,Representative,S001150,Adam,B.,Schiff,https://theunitedstates.io/images/congress/450x550/S001150.jpg,6/22/60,refugee ban,Adam B. Schiff,D,CA,28,http://schiff.house.gov,TRUE,"We are a nation founded on religious liberty whose doors have always been open to those fleeing persecution and seeking a better life. Donald Trump's executive order today establishes a religious test for those coming from certain Muslim countries.  It would turn away women and children fleeing violence unless they worship in the right way or to the right God. It would represent a dangerous first step in the institutionalization of prejudice against practitioners of a certain faith. That this order was issued on Holocaust Remembrance Day demonstrates what a poor student of history the President is, and how much it will fall upon Congress to ensure that America does not allow any repetition of the mistakes and tragedies of the past.",NULL,Oppose,1/27/17,email,,Chris Keller/KPCC
house of representatives,M,Representative,C001097,Tony,,Cardenas,https://theunitedstates.io/images/congress/450x550/C001097.jpg,3/31/63,refugee ban,Tony Cardenas,D,CA,29,https://cardenas.house.gov,TRUE,"Trapping victims of terror and oppression in war-torn countries is not the way of the U.S., the leader of the free world. We can keep our country safe without barring entry to people fleeing for their lives. This is yet another misguided, weak executive order from the Trump Administration.",NULL,Oppose,1/27/17,facebook,https://www.facebook.com/repcardenas/posts/1563247033686293,Chris Keller/KPCC
house of representatives,M,Representative,S000344,Brad,,Sherman,https://theunitedstates.io/images/congress/450x550/S000344.jpg,10/24/54,refugee ban,Brad Sherman,D,CA,30,http://sherman.house.gov,TRUE,"Trump's EO bars Iraqis who risked lives for our soldiers, Yazidis & others who face ISIS genocide. On #holocaustremembrance day. Shame.",NULL,Oppose,1/27/17,tweet,https://twitter.com/BradSherman/status/825124244220735488,Chris Keller/KPCC
house of representatives,M,Representative,A000371,Pete,,Aguilar,https://theunitedstates.io/images/congress/450x550/A000371.jpg,6/19/79,refugee ban,Pete Aguilar,D,CA,31,https://aguilar.house.gov,TRUE,"On Friday, President Trump issued an executive order that targets refugees and immigrants based on their religion. His xenophobic rhetoric and actions are not consistent with the values of our nation. This executive order will do nothing to make our country safer and only sends a message of hate and bigotry to the rest of the world. This order would not have prevented the attack in San Bernardino and the use of San Bernardino as justification for this anti-Muslim policy is a revolting way to exploit our community. Federal judges around the country have issued orders to halt detentions and deportations. Despite these orders, the Department of Homeland Security, under the president's direction, is continuing to enforce the executive order and proceeding with detentions, removals and denial of access to attorneys. This is abhorrent. This is inhumane. This is unconstitutional. President Trump's actions are in violation of the United States Constitution and he must be held accountable immediately.",NULL,Oppose,1/29/17,news release,https://aguilar.house.gov/media-center/press-releases/aguilar-condemns-trump-s-unconstitutional-actions,Chris Keller/KPCC
house of representatives,F,Representative,N000179,Grace,F.,Napolitano,https://theunitedstates.io/images/congress/450x550/N000179.jpg,12/4/36,refugee ban,Grace F. Napolitano,D,CA,32,http://napolitano.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,L000582,Ted,,Lieu,https://theunitedstates.io/images/congress/450x550/L000582.jpg,3/29/69,refugee ban,Ted Lieu,D,CA,33,https://lieu.house.gov,TRUE,"Today's executive order by President Trump using extreme vetting and banning refugees from many majority Muslim countries is offensive and a monumental waste of federal resources.  Having served on active duty, we are taught that to defeat the enemy, we first need to know our enemy.  Our enemies are terrorist groups such as ISIS and AL Qaeda, not children, women and senior citizens fleeing those groups. The chances of being struck by lightning TWICE is 1 in 9 million.  The chances of being killed by a refugee committing a terrorist act is 1 in 3.6 billion.  These facts lead me to conclude that Trump's action is not based on national security, it is based on bigotry. Lady Liberty is crying.",NULL,Oppose,1/27/17,news release,https://lieu.house.gov/media-center/press-releases/rep-lieu-statement-trumps-anti-muslim-executive-order,Chris Keller/KPCC
house of representatives,,,,,,,,,refugee ban,Office of the Thirty-Fourth Congressional District of California,,CA,34,,,,NULL,,,,,
house of representatives,F,Representative,T000474,Norma,,Torres,https://theunitedstates.io/images/congress/450x550/T000474.jpg,4/4/65,refugee ban,Norma Torres,D,CA,35,https://torres.house.gov,TRUE,"Donald Trump's Executive Order on refugees is more reckless fear-mongering that has no basis in reality.  Refugees already undergo a long, rigorous screening process that often takes years.  While we should work to continuously monitor and improve that process, there is no reason to bring it to a crashing halt or to enact a blanket ban on those coming from certain Muslim-majority countries. Having spoken to many refugee families in my district, I know that they are no different from me and my family.  We all are looking to provide a future for our loved ones and contribute to this great country.  Closing America's doors to those fleeing unimaginable hardships is an affront to our values as a nation, and targeting people based on their faith is downright un-American.  Throughout our history, our nation has been a beacon of hope and freedom.  Today's actions go against those very ideals and will ultimately erode the moral leadership of the United States across the globe.",NULL,Oppose,1/27/17,news release,https://torres.house.gov/media-center/press-releases/statement-refugee-executive-order,Chris Keller/KPCC
house of representatives,M,Representative,R000599,Raul,,Ruiz,https://theunitedstates.io/images/congress/450x550/R000599.jpg,8/25/72,refugee ban,Raul Ruiz,D,CA,36,https://ruiz.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,F,Representative,B001270,Karen,,Bass,https://theunitedstates.io/images/congress/450x550/B001270.jpg,10/3/53,refugee ban,Karen Bass,D,CA,37,https://bass.house.gov,TRUE,"We must be better than this. This is not world leadership, this is living in fear with hatred in our hearts.",NULL,Oppose,1/28/17,tweet,https://twitter.com/RepKarenBass/status/825456169888149504,Chris Keller/KPCC
house of representatives,F,Representative,S001156,Linda,T.,Sanchez,https://theunitedstates.io/images/congress/450x550/S001156.jpg,1/28/69,refugee ban,Linda T. Sanchez,D,CA,38,https://lindasanchez.house.gov,TRUE,@POTUS' unconstitutional #MuslimBan goes against our American values. @HouseDemocrats will keep up the fight for justice. #NoBanNoWall,NULL,Oppose,1/30/17,tweet,https://twitter.com/RepLindaSanchez/status/826101367739674626,Chris Keller/KPCC
house of representatives,M,Representative,R000487,Ed,,Royce,https://theunitedstates.io/images/congress/450x550/R000487.jpg,10/12/51,refugee ban,Ed Royce,R,CA,39,http://royce.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,F,Representative,R000486,Lucille,,Roybal-Allard,https://theunitedstates.io/images/congress/450x550/R000486.jpg,6/12/41,refugee ban,Lucille Roybal-Allard,D,CA,40,http://roybal-allard.house.gov,TRUE,"President Trump's executive order does not make us safer and abandons this nation's commitment to refugees.  The order's masking of religious discrimination against refugees, legal permanent residents, and visa holders in the name of national security is reprehensible and illegal. It puts in place policies with astounding and inexcusable religious discrimination at levels not seen since World War II. While I am pleased that federal courts have temporarily blocked removals, the courts and Congress must act quickly to prevent the long-term damage to our country that this administration's policies will bring about, and to demonstrate to our Muslim brothers and sisters that we will not tolerate discrimination against them. I will do everything in my power to ensure that all those who have already been properly vetted will have legal access to the United States, and I will continue to speak out against all unconstitutional policies of President Trump.",NULL,Oppose,1/29/17,news release,http://roybal-allard.house.gov/news/documentsingle.aspx?DocumentID=398191,Chris Keller/KPCC
house of representatives,M,Representative,T000472,Mark,,Takano,https://theunitedstates.io/images/congress/450x550/T000472.jpg,12/10/60,refugee ban,Mark Takano,D,CA,41,https://takano.house.gov,TRUE,"President Trump's executive order turns America's back to the suffering of thousands of men, women, and children fleeing unspeakable violence. The ongoing humanitarian tragedy in Syria requires us to rise to the occasion and demonstrate our commitment to standing up for victims of oppression around the world. Instead, we are sending a messaging to desperate families that they are on their own. This is a shameful moral failure that will feed into anti-American rhetoric and damage our security at home and our interests abroad. The truth is the United States already thoroughly vets all refugees and all foreign citizens requesting a visa. President Trump will soon realize that the policy of ""extreme vetting"" he advanced during the campaign has been U.S. policy for several years. As the descendent of parents and grandparents imprisoned in Japanese American internment camps, I am sickened by the use of collective punishment against all citizens of a certain nationality. This executive order is plainly un-American and plays to our worst instincts of tribalism and nationalism. On its own, this executive order marks a terrible moment for our country and a stain on our legacy. But for President Trump to sign this order on International Holocaust Remembrance Day is an insult to the memories of the Jewish refugees who were murdered when too few nations stepped up to shelter them.",NULL,Oppose,1/27/17,news release,https://takano.house.gov/newsroom/press-releases/rep-takano-executive-order-on-foreign-nationals-refugees-is-a-moral-failure-and-humanitarian-disaster,Chris Keller/KPCC
house of representatives,M,Representative,C000059,Ken,,Calvert,https://theunitedstates.io/images/congress/450x550/C000059.jpg,6/8/53,refugee ban,Ken Calvert,R,CA,42,http://calvert.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,F,Representative,W000187,Maxine,,Waters,https://theunitedstates.io/images/congress/450x550/W000187.jpg,8/15/38,refugee ban,Maxine Waters,D,CA,43,https://waters.house.gov,TRUE,"I am deeply appalled but not in the least bit shocked by President Trump's actions over the last week that reflect just how ill-prepared he is to govern our country. President Trump, who lost the popular vote by 2.8 million votes and was elected with the assistance of the Russian government, has managed in a single week to offend a key ally, raise premiums on homeowners, and implement an un-American immigration ban, all while advancing new lies and conspiracy theories with each passing day. The Administration's ban on immigrants from certain predominantly Muslim countries is not the result of thoughtful policymaking, but yet another action catering to the President's small base of support. The order prohibits entry into the U.S. to immigrants from seven predominantly Muslim countries - Iraq, Syria, Iran, Libya, Somalia, Sudan and Yemen - for the next 90 days and suspends the admission of refugees for the next 120 days. This shortsighted executive order fails to make any distinction between people who deserve to come to the United States and those who do not. The order has already resulted in the detention of an Iraqi man who courageously worked with the U.S. government for 10 years after the U.S. invaded Iraq. The order even prohibits re-entry to permanent U.S. residents from these countries, who will now be forced to apply for waivers just to return to their homes and families in the United States. The Administration's ban on refugees is especially deplorable. It targets women, men, and children who are fleeing brutal repression in countries like Syria and who were hoping to find freedom in the United States of America. Contrary to what the Administration would have the American public believe, the Administration's immigration ban is not even an effective way to combat or prevent domestic terror attacks. Of the most tragic terrorist attacks that have occurred on American soil over the past few years, including the Boston marathon bombing, the Orlando Pulse nightclub shooting, and the San Bernardino shooting, none of the perpetrators were born in any of the seven affected countries. The order does not even cover Saudi Arabia, the country that was the origin of 15 of the 19 terrorists who carried out the horrendous September 11th terrorist attacks. The President's executive order was clearly motivated by prejudice against Muslims and a desire to appeal to a small group of people who share his prejudiced views. However, instead of making our nation a safer place for all Americans, the order will make us less safe by providing ISIS and other terrorist groups propaganda that they can use to recruit new fighters and encourage attacks. Not only is the Administration's immigration ban immoral and likely unconstitutional, it goes against everything for which the United States stands, as a nation of immigrants and a beacon of hope for people around the world. President Trump must understand that governing a nation is serious business and his actions have consequences both in the United States and abroad. The American people are not pawns in a reality show, and he cannot simply sit in the White House and sign decrees as if he were a king unbound by any check on his power and authority. Those in Congress who remain silent and fail to condemn this executive order will share in the responsibility for the resulting injustices.",NULL,Oppose,1/28/17,facebook,https://www.facebook.com/MaxineWaters/posts/10154167889030009,Chris Keller/KPCC
house of representatives,F,Representative,B001300,Nanette,,Barraga̤n,,9/15/76,refugee ban,Nanette Barragan,D,CA,44,https://barragan.house.gov,TRUE,Great to see big crowds here @flyLAXairport today.  I'm headed back to D.C. to demand answers & that @POTUS withdraw EO  #MuslimBanprotest,NULL,Oppose,1/29/17,tweet,https://twitter.com/RepBarragan/status/825827805535440896,Chris Keller/KPCC
house of representatives,F,Representative,W000820,Mimi,,Walters,https://theunitedstates.io/images/congress/450x550/W000820.jpg,5/14/62,refugee ban,Mimi Walters,R,CA,45,https://walters.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
