position,full_name,first_name,last_name,party,district,Caption,image_url,owns_firearm,comment,supporting_specific_proposals,bioguide_id
Rep,David Valadao,David,Valadao,R,Hanford,Calif. Congressional member David Valadao - (R-Hanford),http://a.scpr.org/i/e50dc3fe30296d026916dd9819e00756/54554-wide.jpg,Did not respond,,Did not respond,V000129
Rep,Devin Nunes,Devin,Nunes,R,Tulare,Calif. Congressional member Devin Nunes - (R-Tulare),http://a.scpr.org/i/dd82511197830db3a2fc3b2a1f3f163d/54556-wide.jpg,Did not respond,,Did not respond,N000181
Sen,Dianne Feinstein,Dianne,Feinstein,D,California,Calif. Congressional member Dianne Feinstein - (D-California),http://a.scpr.org/i/09c690ebd714f0ea64794e7e60903a01/54558-wide.jpg,Declined to state,,"Sponsor of Senate assault weapons ban bill: prohibits sale, transfer, importation and manufacture of 157 dangerous military-style assault weapons; bans high-capacity ammunition magazines.",F000062
Rep,Doris Matsui,Doris,Matsui,D,Sacramento,Calif. Congressional member Doris Matsui - (D-Sacramento),http://a.scpr.org/i/433d358ae89143098335236a5d51c989/54559-wide.jpg,No,,"Co-sponsor of several bills that seek to strengthen background checks and eliminate large-capacity magazines, including the Large Capacity Ammunition Feeding Device Act and the Gun Show Loophole Closing Act. She also supports reinstating the federal assault weapons ban, and is an original co-sponsor on Rep. McCarthy's Assault Weapons Ban of 2013. Congresswoman Matsui also believes that now is the time to bolster funding and services for mental health care and ensure all Americans have access to the treatment they need.  To help achieve this, Congresswoman Matsui is reintroducing the Excellence in Mental Health Act. This legislation addresses our nation's fragmented mental health system by enhancing Medicaid funding for organizations, clinics, and health centers that offer community-based treatment and support for millions of low-income and vulnerable people with mental health and addiction disorders.",M001163
Rep,Doug LaMalfa,Doug,LaMalfa,R,Redding,Calif. Congressional member Doug LaMalfa - (R-Redding),http://a.scpr.org/i/3f97d3eb5edda9855920f9d41910fb28/54561-wide.jpg,Yes,Former vice president of a local hunting association,"Enforcement of current laws should be the focus rather than writing more laws. Criminals by the definition don't follow the law, thus new laws will only affect those who already follow them.",L000578
Rep,Duncan Hunter,Duncan,Hunter,R,El Cajon,Calif. Congressional member Duncan Hunter - (R-El Cajon),http://a.scpr.org/i/4f84a47b400c3cb0751132557b3d0a9c/54560-wide.jpg,Yes,several,He doesn’t believe much of what’s been suggested or proposed so far would have much if any impact on what we’re talking about now (in light of past incidents).,H001048
Rep,Ed Royce,Ed,Royce,R,Fullerton,Calif. Congressional member Ed Royce - (R-Fullerton),http://a.scpr.org/i/2f7299ab8d67e37805f0f0c498bf2a2b/54562-wide.jpg,Did not respond,,"Congressman Royce supports the Second Amendment for law-abiding citizens. He also has supported common sense proposals to promote gun safety, including requiring instant background checks and the use of safety devices for guns.  In addition, he supported a law to strengthen the instant background check system, by providing states with financial incentives to report records of mental illness (and other red-flag cases) to the FBI. The State of California already has an assault weapons ban in place.  It is also one of six states to limit high capacity magazines.  It requires that the sale of all firearms must be processed by a licensed California gun dealer.  California has a 15-day waiting period for anyone who wants to purchase a gun, and a gun purchaser must obtain a firearms safety certificate.”",R000487
Rep,Eric Swalwell,Eric,Swalwell,D,Livermore,Calif. Congressional member Eric Swalwell - (D-Livermore),http://a.scpr.org/i/eca5205ab6efd8e7d1a475e7e33d8171/54563-wide.jpg,No,,"As a prosecutor I saw the terrible damage that assault weapons can do, and these weapons of war don’t belong in civilian hands.  I support banning dangerous assault weapons and high capacity ammunition magazines, just as California has already done, and I’m a proud original co-sponsor of Congresswoman Carolyn McCarthy’s bill to do just that.  Such legislation is part of a larger effort to reduce gun violence, which should include universal background checks and improved mental healthcare services.",S001193
Rep,Gary Miller,Gary,Miller,R,San Bernardino,Calif. Congressional member Gary Miller - (R-San Bernardino),http://a.scpr.org/i/92c89ba851c76470e5b17a5ede957707/54565-wide.jpg,Declined to comment,,"Keeping firearms out of the hands of criminals and those with mental illnesses that pose a threat to themselves and the public is vital. Current laws on the books should be strongly enforced, and flaws in our mental health system must be addressed. Infringing on our fundamental and constitutional rights is not the correct solution. Proposals to limit guns rights only provide the illusion of reducing gun violence. Whether there is a gun ban or not, those who are committed to doing harm will find ways to do so – such as the perpetrator of the Newtown shootings, who stole firearms that were legally obtained by his mother.",M000725
Rep,George Miller,George,Miller,D,Martinez,Calif. Congressional member George Miller - (D-Martinez),http://a.scpr.org/i/48a9fa3715783119eb0093ea3d01005f/54564-wide.jpg,Yes,Owns one 40-year-old Browning .20-gauge shotgun for duck hunting,"Supports President Obama’s proposals to reduce gun violence, particularly a mandate for universal background checks for every gun purchase, restrictions on high capacity ammunition magazines, a ban on dangerous, military-style assault weapons, stronger federal gun trafficking laws, and a comprehensive approach to mental health and education issues. ",M001139
Rep,Gloria Negrete McLeod,Gloria,Negrete McLeod,D,Ontario,Calif. Congressional member Gloria Negrete McLeod - (D-Ontario),http://a.scpr.org/i/f13f8929d3dc0d3748a10e7bd10f51f8/54570-wide.jpg,Not personally,"Her husband, who is a retired LAPD Lieutenant, does own registered firearms and has them locked away safely for protective purposes.","Universal background checks, support local law enforcement, funding for mental health services, crack down on gun trafficking, ban on the sale of assault weapons, and a high capacity assault magazine ban",N000187
Rep,Grace Napolitano,Grace,Napolitano,D,Santa Fe Springs,Calif. Congressional member Grace Napolitano - (D-Santa Fe Springs),http://a.scpr.org/i/e6bbc603a2be2d1222733a737c881cd1/54566-wide.jpg,No,never owned one,"Increased access to mental health services; ban military-style assault weapons and high capacity magazines; make schools safer; close background check loopholes
",N000179
Rep,Henry Waxman,Henry,Waxman,D,Los Angeles,Calif. Congressional member Henry Waxman - (D-Los Angeles),http://a.scpr.org/i/1600cfbf17bf5e3f0566dffbadffdb89/54567-wide.jpg,No,,"Supports background checks, ban on assault weapons, more intervention for mental health services.",W000215
Rep,Jackie Speier,Jackie,Speier,D,San Mateo,Calif. Congressional member Jackie Speier - (D-San Mateo),http://a.scpr.org/i/bc6447ff81435b8fc1244047823f3e1c/54568-wide.jpg,Not personally,Husband owns hunting guns.,"Supports universal background checks; ban on high capacity magazines (limit capacity to 10 bullets); renew assault weapons ban; ban importation of  assault weapons; close loopholes in gun laws; stop destruction of background checks within 24 hours (require to keep background checks for 90 days); trace crime guns; require gun locks; collect guns from people prohibited from owning guns, such as ex-felons, mentally impaired, persons convicted of domestic violence; modernize definition of armor-piercing ammunition; require all states to share crime records with national database",S001175
Rep,Janice Hahn,Janice,Hahn,D,San Pedro,Calif. Congressional member Janice Hahn - (D-San Pedro),http://a.scpr.org/i/63daecf2103870bb4a3b65ab9c00d4e7/54601-lead.jpg,No,,"Require universal background checks on gun purchases, strengthen our mental health system, ban the military-style assault weapons and high-capacity magazines.",H001063
Rep,Jared Huffman,Jared,Huffman,D,San Rafael,Calif. Congressional member Jared Huffman - (D-San Rafael),http://a.scpr.org/i/cdd375f352c67bfb6c75c2574c577588/54569-wide.jpg,Yes,Owns a shotgun that was given to him by his father,"I fully support the President’s common sense proposals for universal background checks and a ban on assault weapons and high capacity assault magazines.   His twenty-three executive actions address yawning gaps in our background check and mental health systems, enhance law enforcement resources, and help prevent dangerous individuals from obtaining weapons.   The President’s proposals are 100% consistent with the Second Amendment, and there is nothing in this package of reforms that threatens the right of law-abiding citizens to own guns for hunting or self -defense.",H001068
Rep,Jeff Denham,Jeff,Denham,R,Fresno,Calif. Congressional member Jeff Denham - (R-Fresno),http://a.scpr.org/i/51bf14333cc5d689a95fc348c1aa29f0/54571-wide.jpg,Did not respond,,Did not respond,D000612
Rep,Jerry McNerney,Jerry,McNerney,D,Pleasanton,Calif. Congressional member Jerry McNerney - (D-Pleasanton),http://a.scpr.org/i/37c1571ef63af4f07e46f428183e793a/54572-wide.jpg,Did not respond,,Did not respond,M001166
Rep,Jim Costa ,Jim,Costa,D,Fresno,Calif. Congressional member Jim Costa  - (D-Fresno),http://a.scpr.org/i/51022a0fbd89bb9fa725993d01646f6d/54573-wide.jpg,Did not respond,,Did not respond,C001059
Rep,John Campbell,John,Campbell,R,Irvine,Calif. Congressional member John Campbell - (R-Irvine),http://a.scpr.org/i/80b1d143c32e43513fd0e0a28738be04/54577-wide.jpg,Declined to state,"Considers this a privacy issue. According to his spokesman, it's akin to asking someone whether they're gay.","He does not support a single-solution approach to solving what is clearly a multi-faceted problem. He believes we need to have a national debate about the root causes underpinning the horrific tragedy at Newtown: ""I am tired of watching our society get angrier and more dependent and more divided and self-serving. And, I’m sick of the political class blaming it all on a simple device that has existed for centuries. There are no laws we can or should pass to deal with these societal problems. But, we need to have the discussion."" ",C001064
Rep,John Garamendi,John,Garamendi,D,Walnut Creek,Calif. Congressional member John Garamendi - (D-Walnut Creek),http://a.scpr.org/i/83d2b8caefccf37645d342eb924074a8/54574-wide.jpg,Yes,"Shotguns and hunting rifles, all for hunting. “Growing up on my family’s cattle ranch, I have been a hunter and gun owner from childhood. I respect the 2nd Amendment and the right to bear arms.""","“In 1989 a shooter carrying an AK47 entered the Cleveland School yard in Stockton, California and rained death on five children and injured 29, including a teacher. As the State Senator representing Stockton, seeing the death and destruction wrought by this weapon in the hands of a homicidal individual, I supported the legislation still on the books of California to ban military assault weapons in the state. My support for bans on assault weapons and large capacity magazines and in favor of background checks and improved mental health services continues to this day.”",G000559
Rep,Juan Vargas,Juan,Vargas,D,Chula Vista,Calif. Congressional member Juan Vargas - (D-Chula Vista),http://a.scpr.org/i/b7c0bfe3b30f5c3899d6f4cdce932514/54575-wide.jpg,No,,Supports the President's proposals.,V000130
Rep,Judy Chu,Judy,Chu,D,El Monte,Calif. Congressional member Judy Chu - (D-El Monte),http://a.scpr.org/i/fd1c480643e245f27da27f42b394eb1e/54576-wide.jpg,No,Never felt a need to own one.,Whole-heartedly in favor of the proposals that have been put forward by President Obama and Senator Feinstein,C001080
Rep,Julia Brownley,Julia,Brownley,D,Ventura,Calif. Congressional member Julia Brownley - (D-Ventura),http://a.scpr.org/i/3f38355a9c7dcee8ff2ba837190fe908/54578-wide.jpg,No,,"Supports Feinstein’s Assault Weapons Ban, ban extended clips, closing background check loopholes. She also believes mental health is a component of gun safety legislation that should be addressed, but is still studying the issue to determine the best approach. Supports 2nd Amendment rights but feels we must take a common sense approach to legislation that will improve gun safety in our communities.",B001285
Rep,Karen Bass,Karen,Bass,D,Los Angeles,Calif. Congressional member Karen Bass - (D-Los Angeles),http://a.scpr.org/i/3ee347387ef2978f9365d85bc1d86d1e/54579-wide.jpg,Declined to state,,"ban assault weapons, universal background checks, more support for mental health treatment",B001270
Rep,Ken Calvert,Ken,Calvert,R,Riverside,Calif. Congressional member Ken Calvert - (R-Riverside),http://a.scpr.org/i/5c00f39554b87f7bd39f3cdf187fbc97/54581-wide.jpg,Yes,,Decined to comment,C000059
Rep,Kevin McCarthy,Kevin,McCarthy,R,Bakersfield,Calif. Congressional member Kevin McCarthy - (R-Bakersfield),http://a.scpr.org/i/20e1ab60def160170f33b9de69deacc4/54580-wide.jpg,Did not respond,"After publication, McCarthy said he is a strong supporter of the 2nd Amendment.","Aide to House Whip Kevin McCarthy says if Senate Democrats are able to pass something, House leaders will review it and any proposals that come out of House committees.",M001165
Rep,Linda Sanchez,Linda,Sanchez,D,Lakewood,Calif. Congressional member Linda Sanchez - (D-Lakewood),http://a.scpr.org/i/324788c23fc4158a6d2b31b3ffc7a2c0/57741-wide.jpg,No,,"Supports federal ban on assault weapons; restrictions on high-capacity magazines; universal background checks; federal programs to aid local law enforcement with gun buyback programs to safely dispose of unwanted firearms (new legislation that Congresswoman Sanchez is working on introducing); long term commitment to mental health, school counselors, and anti-bullying initiatives—resources to help prevent these mass shootings from happening in the future.",S000030
Rep,Lois Capps,Lois,Capps,D,Santa Barbara,Calif. Congressional member Lois Capps - (D-Santa Barbara),http://a.scpr.org/i/a92aee5fd6f204ce2cbd8869b3df5a54/54583-wide.jpg,No,,"Require universal background checks, ban military style assault weapons, ban high capacity ammunition magazines, strengthen gun trafficking laws will help keep guns out of the hands of criminals. Improve access to mental health services. Ensure laws are clear and there are procedures in place to help make sure we’re able to prevent deeply mentally disturbed individuals from obtaining firearms. Additional school mental health personnel.",C001036
Rep,Loretta Sanchez,Loretta,Sanchez,D,Anaheim,Calif. Congressional member Loretta Sanchez - (D-Anaheim),http://a.scpr.org/i/8d703128994c52a11c6dfbedd84e8896/54582-wide.jpg,No,,Better regulation of assault weapons; closing gun show loophole; ban on high capacity magazines.,S000030
Rep,Lucille Roybal-Allard,Lucille,Roybal-Allard,D,Commerce,Calif. Congressional member Lucille Roybal-Allard - (D-Commerce),http://a.scpr.org/i/969609eead9f023e847cd75e1a2323b1/54584-wide.jpg,No,"She says she does not need one, she does not hunt.","Supports ban on military-style assault weapons as well as high capacity magazines; universal background checks, waiting periods and closing private sale loopholes that allow buyers to avoid background checks; support for legislation that addresses mental health. ",R000486
Rep,Mark Takano,Mark,Takano,D,Riverside,Calif. Congressional member Mark Takano - (D-Riverside),http://a.scpr.org/i/95af298588d8607ab47e8fc7a9448cae/54585-wide.jpg,No,Never felt compelled to own one.,"Supports  reinstating the assault rifles ban, universal background checks, closing the gun show loophole (ie: background checks), and banning high capacity magazine clips.",T000472
Rep,Maxine Waters,Maxine,Waters,D,Los Angeles,Calif. Congressional member Maxine Waters - (D-Los Angeles),http://a.scpr.org/i/c52c55a13b0fcd918d440f64b75235b4/54586-wide.jpg,Did not respond,,Did not respond,W000187
Rep,Mike Honda,Mike,Honda,D,San Jose,Calif. Congressional member Mike Honda - (D-San Jose),http://a.scpr.org/i/a0c48f716f843ebe6aecf5f34f0aa327/54587-wide.jpg,Yes,,"As the former Chair of the Public Safety Commission in the California Assembly and as a senior member of the Commerce Justice Science Appropriations subcommittee, I have been on the frontline on the issue of gun violence for decades. There is no one-stop solution to solving the problem. Rather, it should be looked at holistically. Yes, we have problems with our gun control laws; from the way that background checks are conducted to the lack of funding for the Bureau of Alcohol Tobacco Firearms and Explosives, to ensuring our law enforcement have the tools to crack down on gun trafficking, to ensuring there is a reasonable limit on possessions of certain kinds of weapons and magazines. We must also ensure that there is complete parity of mental health coverage with physical health. There is, however, a need for our country to also look at the causes of violence. We must answer the question as to why our country leads the Western World in violence and gun-related deaths. The 2012 Peace Index, a yearly study done by the Institute for Economics and Peace on the cost of violence across the world, found that the least violent states in our nation had some of the highest rates of health coverage, high school graduation, educational opportunity and perceived access to basic services, as well as among the lowest rates of teen pregnancy, income inequality, poverty and infant mortality. Herein lays the long-term answer.”",H001034
Rep,Mike Thompson,Mike,Thompson,D,St. Helena,Calif. Congressional member Mike Thompson - (D-St. Helena),http://a.scpr.org/i/cea28e53ea47e0f3c38708462660e7a8/54588-wide.jpg,Yes,Collects and uses for sport shooting and hunting.,"Chair of the Gun Violence Prevention Task Force in the House, he introduced H.R. 848, the Armed Prohibited Persons Act of 2013. This legislation will help states launch initiatives to remove guns from the hands of convicted criminals and the dangerously mentally ill. The legislation will establish a competitive grant program within the Department of Justice for states that voluntarily develop a system that removes firearms from people who bought them legally but later lost their right to own those firearms by committing a crime or being deemed dangerously mentally ill.",T000460
Rep,Nancy Pelosi,Nancy,Pelosi,D,San Francisco,Calif. Congressional member Nancy Pelosi - (D-San Francisco),http://a.scpr.org/i/09eab22bfc443734cea048d31e320534/54589-wide.jpg,No,,"Supports assault weapons ban; ban on assault magazines; stronger background checks, support for mental illness being treated like any other health challenge.",P000197
Rep,Paul Cook,Paul,Cook,R,Barstow,Calif. Congressional member Paul Cook - (R-Barstow),http://a.scpr.org/i/c8728234b0f74399f7d839223a7db51c/54590-wide.jpg,Did not respond,,"Cook said after publication that he wants to “carefully” look at any gun measures. He says requiring background checks for potential gun owners raises the question of who might have access to that information. He questions whether regulating guns is the answer to preventing future Newtowns. ""We, in our society, we produce people like this. I think we’ve got to look at ourselves as a culture and examine what we’re doing. To just look at the mechanism -- obviously guns is not enough.""",C001094
Rep,Raul Ruiz,Raul,Ruiz,D,Palm Springs,Calif. Congressional member Raul Ruiz - (D-Palm Springs),http://a.scpr.org/i/8d5a715e2ed4307717ef65e1aad82681/54591-wide.jpg,No,,"""My top priority in preventing gun violence is making sure that guns don’t get in the hands of people who wish to harm others. A gun in and of itself is not the root problem, a person with a gun who wants to inflict harm on others is the problem. I believe we should address that by taking a holistic, comprehensive public health approach to preventing gun violence. For me this would include restrictions on high capacity magazines, taking weapons of war off our streets, strengthening background checks for gun purchases, and improving mental health services.""",R000599
Rep,Sam Farr,Sam,Farr,D,Santa Cruz,Calif. Congressional member Sam Farr - (D-Santa Cruz),http://a.scpr.org/i/9ffdfd15b288cf4ce76a9ab266ae6683/54592-wide.jpg,No,,"“California has some of the strongest laws to prevent gun violence and I support similar provisions at the national level including restoring the assault weapons ban and closing the gun show loophole.  More specifically, I have proposed measures to strengthen the ATF’s ability to conduct checks on the records of licensed gun dealers.  Additionally, it is time that we treat all firearms the same. Whether it is a rifle, shotgun or handgun, our laws should universally apply.  The same laws and background check requirements that are in place for handguns should be extended to cover long guns.”",F000030
Rep,Scott Peters,Scott,Peters,D,San Diego,Calif. Congressional member Scott Peters - (D-San Diego),http://a.scpr.org/i/cc3e7912c8001697f14fe2971bb33d33/54593-wide.jpg,No,,"Supports better enforcement of existing gun laws; background checks on all gun purchases; reasonable restrictions on the types of guns and ammunition, originally intended for our military, available to civilians; more attention to mental health awareness and treatment; and give local law enforcement the tools they need to reduce gun violence and to keep our schools, families and neighborhoods safe. “I fully support the Second Amendment and the right of individuals to own guns for sporting, collection, or self-protection. However, law enforcement officials agree that there’s no reason for civilians to have weapons of war which end up on our streets and in our neighborhoods.”",P000608
Rep,Susan Davis,Susan,Davis,D,San Diego,Calif. Congressional member Susan Davis - (D-San Diego),http://a.scpr.org/i/1dbdab2378e28ab9926d1f8f32b64206/54594-wide.jpg,No,,"Supports concrete steps that include looking at weapons, background checks, resources for education and planning for school safety, better access to mental health and freeing our ability to do critical research into the causes of gun violence.",D000598
Rep,Tom McClintock,Tom,McClintock,R,Granite Bay,Calif. Congressional member Tom McClintock - (R-Granite Bay),http://a.scpr.org/i/ad4fc5e07d392a3ed73d09a18c30d383/54595-wide.jpg,Declined to state,,"I support legislation that assures gun criminals are put away for very long periods of time, that the dangerous mentally ill can be committed and receive treatment, and that law-abiding citizens have the means to defend themselves against gun predators. I support legislation that assures that the next time a gunman walks onto a school campus, he is met with deadly force.",M001177
Rep,Tony Cardenas,Tony,Cardenas,D,"North Hollywood, Sun Valley","Calif. Congressional member Tony Cardenas - (D-North Hollywood, Sun Valley)",http://a.scpr.org/i/ad4fc5e07d392a3ed73d09a18c30d383/54600-wide.jpg,No,,"Universal background checks, full funding for federal law enforcement agencies to monitor and enforce gun control laws, ban high capacity assault weapons and high capacity magazines, more funding for mental health services",
Rep,Xavier Becerra,Xavier,Becerra,D,Los Angeles,Calif. Congressional member Xavier Becerra - (D-Los Angeles),http://a.scpr.org/i/79c79633804a925228f00fd1aa7136e2/54596-wide.jpg,Declined to state,,"""We, as a society, need to do everything we can to prevent gun violence and to keep dangerous weapons out of the hands of dangerous people. I applaud President Barack Obama and Vice President Joe Biden for presenting common sense solutions that the Administration will act on, and measures that Congress can pass in the weeks ahead. I look forward to working with members on both sides of the aisle to responsibly enact stronger laws that protect our families and prevent gun violence""",B000287
Rep,Zoe Lofgren,Zoe,Lofgren,D,San Jose,Calif. Congressional member Zoe Lofgren - (D-San Jose),http://a.scpr.org/i/7f5dc9362f2f29325ce012439d36fef8/54597-wide.jpg,No,,"Re-enact federal assault weapon that was in effect from 1994 to 2004, supports federal law requiring background check, including mental health.",L000397
