position,common_reference,full_name,first_name,last_name,local,party,district_id,district,office_status,reason,updated_date,full_reference,image_url
Rep.,Congressman,Devin Nunes,Devin,Nunes,n,R,22,Tulare,,,,Congressman Devin Nunes - (R-Tulare),http://a.scpr.org/i/dd82511197830db3a2fc3b2a1f3f163d/54556-wide.jpg
Rep.,Congresswoman,Nancy Pelosi,Nancy,Pelosi,n,D,12,San Francisco,,,,Congresswoman Nancy Pelosi - (D-San Francisco),http://a.scpr.org/i/09eab22bfc443734cea048d31e320534/54589-wide.jpg
Rep.,Congressman,Scott Peters,Scott,Peters,n,D,52,San Diego,,,,Congressman Scott Peters - (D-San Diego),http://a.scpr.org/i/cc3e7912c8001697f14fe2971bb33d33/54593-wide.jpg
Rep.,Congressman,Dana Rohrabacher,Dana,Rohrabacher,y,R,48,Huntington Beach,closed California offices and furloughed all but two DC staffers.,"Congressman Rohrabacher: ""what is the most important job that the voters have given to me? And that is to be here, voting on legislation and perhaps working to get us out of this quagmire. And so I consider what I’m doing to be essential.” ",,Congressman Dana Rohrabacher - (R-Huntington Beach),http://a.scpr.org/i/eeadd3e3c3820e30e91e3d1e1aac5721/54555-wide.jpg
Rep.,Congresswoman,Lucille Roybal-Allard,Lucille,Roybal-Allard,y,D,40,Commerce,open,"According to the Congresswoman: “All my district office staff are essential to ensure my constituents will be able to receive the assistance they need regarding federal issues such as their Social Security, Medicare and veterans benefits. I have also designated my DC office staff as essential in order to ensure I can work as expeditiously as possible to help end this shutdown.”",,Congresswoman Lucille Roybal-Allard - (D-Commerce),http://a.scpr.org/i/969609eead9f023e847cd75e1a2323b1/54584-wide.jpg
Rep.,Congressman,Ed Royce,Ed,Royce,y,R,39,Fullerton,"open, but says half of staff in both DC and California is furloughed",,,Congressman Ed Royce - (R-Fullerton),http://a.scpr.org/i/2f7299ab8d67e37805f0f0c498bf2a2b/54562-wide.jpg
Rep.,Congressman,Raul Ruiz,Raul,Ruiz,y,D,36,Palm Springs,open and has expanded office hours,Congressman Ruiz: “The needs of my constituents are my top priority.”,,Congressman Raul Ruiz - (D-Palm Springs),http://a.scpr.org/i/8d5a715e2ed4307717ef65e1aad82681/54591-wide.jpg
Rep.,Congresswoman,Linda Sanchez,Linda,Sanchez,y,D,38,Lakewood,open,"Congresswoman Sanchez says, “if you furlough so-called non-essential employees, and then the essential employees have to stop what they’re doing every two minutes to answer the phone, they’re not really allowed to get their work done and so our office has chosen not to furlough.”",,Congresswoman Linda Sanchez - (D-Lakewood),http://a.scpr.org/i/324788c23fc4158a6d2b31b3ffc7a2c0/57741-wide.jpg
Rep.,Congresswoman,Loretta Sanchez,Loretta,Sanchez,y,D,46,Anaheim,closed ,"""Due to the government shutdown, a majority of the Congresswoman's staff are furloughed.  All of our constituent services have been suspended, and because the House is in session, our Washington D.C. office is minimally staffed.""",,Congresswoman Loretta Sanchez - (D-Anaheim),http://a.scpr.org/i/8d703128994c52a11c6dfbedd84e8896/54582-wide.jpg
Rep.,Congressman,Adam Schiff,Adam,Schiff,y,D,28,Glendale,open,"Congressman Schiff: “None of my staff is being paid during the shutdown. But I have asked them all to come in nonetheless to help respond to constituent needs and questions during the shutdown. With many agencies closed, we are one of the few resources still available to help with social security, VA benefits, immigration matters and other issues. “",,Congressman Adam Schiff - (D-Glendale),http://a.scpr.org/i/5fe587ea8a39086d95d134d5425a1aa4/54546-wide.jpg
Rep.,Congressman,Brad Sherman,Brad,Sherman,y,D,30,Sherman Oaks,open,"Congressman Sherman: ""There's never been a time when constituent services has been more important.""",,Congressman Brad Sherman - (D-Sherman Oaks),http://a.scpr.org/i/d7eef28b6b29158970229989cc158bb7/54552-wide.jpg
Rep.,Congressman,Jackie Speier,Jackie,Speier,n,D,14,San Mateo,,,,Congressman Jackie Speier - (D-San Mateo),http://a.scpr.org/i/bc6447ff81435b8fc1244047823f3e1c/54568-wide.jpg
Rep.,Congressman,Eric Swalwell,Eric,Swalwell,n,D,15,Livermore,,,,Congressman Eric Swalwell - (D-Livermore),http://a.scpr.org/i/eca5205ab6efd8e7d1a475e7e33d8171/54563-wide.jpg
Rep.,Congressman,Mark Takano,Mark,Takano,y,D,41,Riverside,open,"Congressman Takano: ""my offices in Riverside and Washington, DC, will remain open during regular business hours, continuing to provide the best service possible to my constituents.""",,Congressman Mark Takano - (D-Riverside),http://a.scpr.org/i/95af298588d8607ab47e8fc7a9448cae/54585-wide.jpg
Rep.,Congressman,Mike Thompson,Mike,Thompson,n,D,5,St. Helena,,,,Congressman Mike Thompson - (D-St. Helena),http://a.scpr.org/i/cea28e53ea47e0f3c38708462660e7a8/54588-wide.jpg
Rep.,Congressman,David Valadao,David,Valadao,n,R,21,Hanford,,,,Congressman David Valadao - (R-Hanford),http://a.scpr.org/i/e50dc3fe30296d026916dd9819e00756/54554-wide.jpg
Rep.,Congressman,Juan Vargas,Juan,Vargas,n,D,51,Chula Vista,,,,Congressman Juan Vargas - (D-Chula Vista),http://a.scpr.org/i/b7c0bfe3b30f5c3899d6f4cdce932514/54575-wide.jpg
Rep.,Congresswoman,Maxine Waters,Maxine,Waters,y,D,43,Los Angeles,open,Congresswoman Waters: “I consider my staff essential. We are answering hundreds of calls.”,,Congresswoman Maxine Waters - (D-Los Angeles),http://a.scpr.org/i/c52c55a13b0fcd918d440f64b75235b4/54586-wide.jpg
Rep.,Congressman,Henry Waxman,Henry,Waxman,y,D,33,Los Angeles,open,,,Congressman Henry Waxman - (D-Los Angeles),http://a.scpr.org/i/1600cfbf17bf5e3f0566dffbadffdb89/54567-wide.jpg
