Date,Median year,La Niña years,2016-2017
1/26/17,46.16,24.05,
1/27/17,46.74,25.6,
1/28/17,47.19,25.6,
1/29/17,47.75,25.6,
1/30/17,48.15,25.6,
1/31/17,48.76,27.93,
2/1/17,49.05,28.37,
2/2/17,49.49,28.37,
2/3/17,50.22,28.37,
2/4/17,50.72,28.53,
2/5/17,51.14,29.67,
2/6/17,52.11,29.68,
2/7/17,52.79,29.69,
2/8/17,53.78,29.77,
2/9/17,54.79,38.51,
2/10/17,55.81,39.61,
2/11/17,56.89,39.61,
2/12/17,57.67,39.61,
2/13/17,58.55,39.61,
2/14/17,59.27,39.67,
2/15/17,59.8,39.68,
2/16/17,60.37,39.68,
2/17/17,61.06,39.68,
2/18/17,61.64,39.68,
2/19/17,62.62,39.68,
2/20/17,63.47,39.69,
2/21/17,64.35,41.99,
2/22/17,65.13,42.69,
2/23/17,66.03,48.52,
2/24/17,66.66,50.07,
2/25/17,67.29,50.41,
2/26/17,67.84,50.42,
2/27/17,68.54,51.94,
2/28/17,69.81,52.65,
3/1/17,71.1,52.93,
3/2/17,72.04,53.08,
3/3/17,72.6,53.42,
3/4/17,73.28,54.77,
3/5/17,73.98,60.52,
3/6/17,74.65,62.78,
3/7/17,75.17,63.12,
3/8/17,75.83,65.64,
3/9/17,75.98,65.64,
3/10/17,76.3,65.64,
3/11/17,76.81,65.64,
3/12/17,77.08,65.64,
3/13/17,77.46,65.64,
3/14/17,77.83,65.64,
3/15/17,78.45,65.64,
3/16/17,79.13,65.64,
3/17/17,79.64,65.64,
3/18/17,80.03,65.64,
3/19/17,80.47,65.64,
3/20/17,81.1,65.64,
3/21/17,81.64,65.64,
3/22/17,82.05,65.64,
3/23/17,82.44,65.64,
3/24/17,82.74,65.69,
3/25/17,83.43,67.31,
3/26/17,83.82,67.31,
3/27/17,84.29,67.36,
3/28/17,84.75,67.36,
3/29/17,84.95,67.36,
3/30/17,85.18,67.36,
3/31/17,85.54,67.36,
